n	xml_id	label_la	label_grc
1.1	spr-ch-1.1-la	De Iride	Περὶ Ἴριδος
1.2	spr-ch-1.2-la	De Acoro	Περὶ Ἀκόρου
1.3	spr-ch-1.3-la	De Meo	Περὶ Μήου
1.4	spr-ch-1.4-la	De Cypero	Περὶ Κυπείρου
1.5	spr-ch-1.5-la	De Cardamomo	Περὶ Καρδαμώμου
1.6	spr-ch-1.6-la	De Nardo	Περὶ Νάρδου
1.7	spr-ch-1.7-la	De celtica Nardo	Περὶ κελτικῆς Νάρδου
1.8	spr-ch-1.8-la	De Nardo montana	Περὶ ὀρεινῆς Νάρδου
1.9	spr-ch-1.9-la	De Asaro	Περὶ Ἀσάρου
1.10	spr-ch-1.10-la	De Phu	Περὶ Φοῦ
1.11	spr-ch-1.11-la	De Malabathro	Περὶ Μαλαβάθρου
1.12	spr-ch-1.12-la	De Cassia	Περὶ Κασσίας
1.13	spr-ch-1.13-la	De Cinnamomo	Περὶ Κινναμώμου
1.14	spr-ch-1.14-la	De Amomo	Περὶ Ἀμώμου
1.15	spr-ch-1.15-la	De Costo	Περὶ Κόστου
1.16	spr-ch-1.16-la	De Schoeno	Περὶ Σχοίνου
1.17	spr-ch-1.17-la	De Calamo aromatico	Περὶ Καλάμου
1.18	spr-ch-1.18-la	De Balsamo	Περὶ Βαλσάμου
1.19	spr-ch-1.19-la	De Aspalatho	Περὶ Ἀσπαλάθου
1.20	spr-ch-1.20-la	De Bryo	Περὶ Βρύου
1.21	spr-ch-1.21-la	De Agallocho	Περὶ Ἀγαλλόχου
1.22	spr-ch-1.22-la	De Nascaphtho	Περὶ Νασκάφθου
1.23	spr-ch-1.23-la	De Cancamo	Περὶ Καγκάμου
1.24	spr-ch-1.24-la	De Cyphi	Περὶ Κύφεως
1.25	spr-ch-1.25-la	De Croco	Περὶ Κρόκου
1.26	spr-ch-1.26-la	De Crocomagmate	Περὶ Κροκομάγματος
1.27	spr-ch-1.27-la	De Helenio	Περὶ Ἑλενίου
1.28	spr-ch-1.28-la	De Hellenio aegyptio	Περὶ Ἐλενίου αἰγυπτίου
1.29	spr-ch-1.29-la	De oleo ex immaturis olivis	Περὶ ἐλαίου ὠμοτριβοῦς
1.30	spr-ch-1.30-la	De oleo communi	Περὶ ἐλαίου κοινοῦ
1.31	spr-ch-1.31-la	De oleo sylvestris olivae	Περὶ ἐλαίου ἐκ τῆς ἀγρίας ἐλαίας
1.32	spr-ch-1.32-la	Oleum candidum	Ἔλαιον λευκόν
1.33	spr-ch-1.33-la	De Sicyonio oleo	Περὶ σικυωνίου ἐλαίου
1.34	spr-ch-1.34-la	De sordibus balneorum	Ῥύπος βαλανείων
1.35	spr-ch-1.35-la	De sordibus palaestrae	Ῥύπος ἐκ τῆς παλαίστρας
1.36	spr-ch-1.36-la	De sordibus gymnasiorum	Ῥύπος γυμνασίων
1.37	spr-ch-1.37-la	De elaeomelite	Περὶ Ἐλαιομέλιτος
1.38	spr-ch-1.38-la	De oleo ricini	Περὶ κικίνου ἐλαίου
1.39	spr-ch-1.39-la	De oleo amygdalino	Περὶ ἀμυγδαλίνου ἐλαίου
1.40	spr-ch-1.40-la	De balanino oleo	Περὶ βαλανίνου ἐλαίου
1.41	spr-ch-1.41-la	Olea sesaminum et iuglandinum	Ἔλαιον σησάμινον καὶ καρύϊνον
1.42	spr-ch-1.42-la	Oleum hyoscyami	Περὶ ὑοσκυαμίνου ἐλαίου
