page	fragment	status	before	after	matches
341	b23982500_0002_0349.xml	unmatched	μεταπο	ροποιούσῃ¹⁵	0
348	b23982500_0002_0356.xml	unmatched	serio	62	0
349	b23982500_0002_0357.xml	unmatched	Stra	bo⁷⁵	0
350	b23982500_0002_0358.xml	unmatched	doctri	78	0
351	b23982500_0002_0359.xml	unmatched	κιννά	μωμον	0
352	b23982500_0002_0360.xml	unmatched	Da	mocrates	0
355	b23982500_0002_0363.xml	unmatched	de	lineatus⁶	0
355	b23982500_0002_0363.xml	ambiguous	con	vallem	2
355	b23982500_0002_0363.xml	ambiguous	Con	vallem	2
358	b23982500_0002_0366.xml	ambiguous	balsa	mum	2
358	b23982500_0002_0366.xml	ambiguous	balsa	mum	2
362	b23982500_0002_0370.xml	unmatched	Nam	Forskol	0
363	b23982500_0002_0371.xml	unmatched	fertili	tatis⁶⁹	0
367	b23982500_0002_0375.xml	unmatched	mulieri	bus	0
369	b23982500_0002_0377.xml	unmatched	Paul	lo⁴	0
373	b23982500_0002_0381.xml	unmatched	grae	cis	0
382	b23982500_0002_0390.xml	unmatched	tar	water	0
383	b23982500_0002_0391.xml	ambiguous	no	men	2
383	b23982500_0002_0391.xml	ambiguous	no	men	2
394	b23982500_0002_0402.xml	unmatched	descri	64	0
398	b23982500_0002_0406.xml	unmatched	Belo	nius⁹⁰	0
399	b23982500_0002_0407.xml	unmatched	ap	pellamus	0
408	b23982500_0002_0416.xml	unmatched	composi	Athen	0
411	b23982500_0002_0419.xml	unmatched	σε	βένιον	0
415	b23982500_0002_0423.xml	unmatched	De	lil	0
416	b23982500_0002_0424.xml	unmatched	Arbri	Geopon	0
417	b23982500_0002_0425.xml	unmatched	nomi	Caesalpinus	0
418	b23982500_0002_0426.xml	unmatched	λω	τοφάγων56	0
420	b23982500_0002_0428.xml	unmatched	Ara	74	0
420	b23982500_0002_0428.xml	unmatched	gigni	tur	0
424	b23982500_0002_0432.xml	unmatched	sa	tam¹⁷	0
424	b23982500_0002_0432.xml	unmatched	Avi	cennae²⁰	0
424	b23982500_0002_0432.xml	unmatched	illu	stravit²¹	0
427	b23982500_0002_0435.xml	ambiguous	lacu	bus	2
427	b23982500_0002_0435.xml	ambiguous	lacu	bus	2
428	b23982500_0002_0436.xml	unmatched	Pe	Homon	0
429	b23982500_0002_0437.xml	ambiguous	Ni	cander	2
429	b23982500_0002_0437.xml	ambiguous	Ni	cander	2
430	b23982500_0002_0438.xml	ambiguous	mor	sum	2
430	b23982500_0002_0438.xml	ambiguous	mor	sum	2
431	b23982500_0002_0439.xml	unmatched	sub	De	0
433	b23982500_0002_0441.xml	unmatched	sen	73	0
434	b23982500_0002_0442.xml	unmatched	no	76	0
439	b23982500_0002_0445.xml	unmatched	μάρ	μαρον26	0
439	b23982500_0002_0445.xml	unmatched	peculia	rem	0
447	b23982500_0002_0453.xml	unmatched	So	lymorum	0
448	b23982500_0002_0454.xml	unmatched	εἶ	ναι	0
450	b23982500_0002_0456.xml	unmatched	Co	lor	0
453	b23982500_0002_0459.xml	ambiguous	Bam	busae	2
453	b23982500_0002_0459.xml	ambiguous	Bam	busae	2
455	b23982500_0002_0461.xml	unmatched	po	Lennep	0
456	b23982500_0002_0462.xml	ambiguous	Theo	phrasti	2
456	b23982500_0002_0462.xml	ambiguous	Theo	phrasti	2
458	b23982500_0002_0464.xml	unmatched	Hesio	Lib	0
459	b23982500_0002_0465.xml	unmatched	tem	poribus¹⁴	0
466	b23982500_0002_0472.xml	unmatched	σερί	νου69	0
471	b23982500_0002_0477.xml	unmatched	columbi	num³⁰	0
472	b23982500_0002_0478.xml	unmatched	γερά	νειον	0
474	b23982500_0002_0480.xml	unmatched	Ὀφιοσκό	ροδον53	0
474	b23982500_0002_0480.xml	unmatched	ξηρό	τητα	0
486	b23982500_0002_0492.xml	unmatched	Σχενό	σιρις56	0
490	b23982500_0002_0496.xml	unmatched	se	ptem	0
495	b23982500_0002_0501.xml	unmatched	Co	lumna¹⁰	0
499	b23982500_0002_0505.xml	unmatched	ἄκαν	θος54	0
500	b23982500_0002_0506.xml	unmatched	Ono	58	0
502	b23982500_0002_0508.xml	unmatched	σίσσε	ρος	0
502	b23982500_0002_0508.xml	unmatched	coerule	78	0
505	b23982500_0002_0511.xml	unmatched	ha	bere⁹⁹	0
505	b23982500_0002_0511.xml	unmatched	con	De	0
506	b23982500_0002_0512.xml	ambiguous	Ae	gypto	2
506	b23982500_0002_0512.xml	ambiguous	Ae	gypto	2
508	b23982500_0002_0514.xml	unmatched	magno	pere	0
509	b23982500_0002_0515.xml	unmatched	κονί	λην³¹	0
513	b23982500_0002_0519.xml	unmatched	ver	tit⁶⁴	0
514	b23982500_0002_0520.xml	unmatched	praeeun	tibus⁸⁰	0
515	b23982500_0002_0521.xml	unmatched	odora	ta⁸¹	0
521	b23982500_0002_0527.xml	unmatched	Dalecham	pius²³	0
522	b23982500_0002_0528.xml	unmatched	Sib	thorpio³²	0
522	b23982500_0002_0528.xml	unmatched	Tabernaemon	Ies	0
