book,source_order,page_n,facs,line_n,source_chunk_path,source_xml_id,generated_n,generated_xml_id,printed_cap,printed_alternate,greek_title,german_title,source_heading_text,visible_chapter_title,nav_label,extra_head_count,issue_codes,image_url
1,1,23,https://digi.ub.uni-heidelberg.de/diglitData/image/berendes1902/3/0_023.jpg,2,chunks/book1/book1_001.xml,ch_1_1,1.1,ch_1_1,1,,Περὶ Ἵριδος,Iris,Cap. 1. Περὶ Ἵριδος. Iris.,Cap. 1. Περὶ Ἵριδος. Iris.,Iris,0,,https://digi.ub.uni-heidelberg.de/diglitData/image/berendes1902/3/0_023.jpg
1,2,25,https://digi.ub.uni-heidelberg.de/diglitData/image/berendes1902/3/0_025.jpg,4,chunks/book1/book1_001.xml,ch_1_2,1.2,ch_1_2,2,,Περὶ Ἀκόρου,Akoron,Cap. 2. Περὶ Ἀκόρου. Akoron.,Cap. 2. Περὶ Ἀκόρου. Akoron.,Akoron,0,,https://digi.ub.uni-heidelberg.de/diglitData/image/berendes1902/3/0_025.jpg
1,3,26,https://digi.ub.uni-heidelberg.de/diglitData/image/berendes1902/3/0_026.jpg,29,chunks/book1/book1_001.xml,ch_1_3,1.3,ch_1_3,3,,Περὶ Μήου,Bärwurz,Cap. 3. Περὶ Μήου. Bärwurz.,Cap. 3. Περὶ Μήου. Bärwurz.,Bärwurz,0,,https://digi.ub.uni-heidelberg.de/diglitData/image/berendes1902/3/0_026.jpg
1,4,27,https://digi.ub.uni-heidelberg.de/diglitData/image/berendes1902/3/0_027.jpg,4,chunks/book1/book1_001.xml,ch_1_4,1.4,ch_1_4,4,,Περὶ Κυπείρου,Cyperngras,Cap. 4. Περὶ Κυπείρου. Cyperngras.,Cap. 4. Περὶ Κυπείρου. Cyperngras.,Cyperngras,0,,https://digi.ub.uni-heidelberg.de/diglitData/image/berendes1902/3/0_027.jpg
1,5,27,https://digi.ub.uni-heidelberg.de/diglitData/image/berendes1902/3/0_027.jpg,40,chunks/book1/book1_001.xml,ch_1_5,1.5,ch_1_5,5,,Περὶ Καρδαμώμου,Kardamomon,Cap. 5. Περὶ Καρδαμώμου. Kardamomon.,Cap. 5. Περὶ Καρδαμώμου. Kardamomon.,Kardamomon,0,,https://digi.ub.uni-heidelberg.de/diglitData/image/berendes1902/3/0_027.jpg
1,6,29,https://digi.ub.uni-heidelberg.de/diglitData/image/berendes1902/3/0_029.jpg,3,chunks/book1/book1_002.xml,ch_1_6,1.6,ch_1_6,6,,Περὶ Νάρδου,Narde,Cap. 6. Περὶ Νάρδου. Narde.,Cap. 6. Περὶ Νάρδου. Narde.,Narde,0,,https://digi.ub.uni-heidelberg.de/diglitData/image/berendes1902/3/0_029.jpg
1,7,30,https://digi.ub.uni-heidelberg.de/diglitData/image/berendes1902/3/0_030.jpg,45,chunks/book1/book1_002.xml,ch_1_7,1.7,ch_1_7,7,,Περὶ κελτικῆς Νάρδου,Keltische Narde,Cap. 7. Περὶ κελτικῆς Νάρδου. Keltische Narde.,Cap. 7. Περὶ κελτικῆς Νάρδου. Keltische Narde.,Keltische Narde,0,,https://digi.ub.uni-heidelberg.de/diglitData/image/berendes1902/3/0_030.jpg
1,8,32,https://digi.ub.uni-heidelberg.de/diglitData/image/berendes1902/3/0_032.jpg,3,chunks/book1/book1_002.xml,ch_1_8,1.8,ch_1_8,8,,Περὶ ὀρεινῆς Νάρδου,Bergnarde,Cap. 8. Περὶ ὀρεινῆς Νάρδου. Bergnarde.,Cap. 8. Περὶ ὀρεινῆς Νάρδου. Bergnarde.,Bergnarde,0,,https://digi.ub.uni-heidelberg.de/diglitData/image/berendes1902/3/0_032.jpg
1,9,32,https://digi.ub.uni-heidelberg.de/diglitData/image/berendes1902/3/0_032.jpg,27,chunks/book1/book1_002.xml,ch_1_9,1.9,ch_1_9,9,,Περὶ Ἀσάρου,Haselwurz,Cap. 9. Περὶ Ἀσάρου. Haselwurz.,Cap. 9. Περὶ Ἀσάρου. Haselwurz.,Haselwurz,0,,https://digi.ub.uni-heidelberg.de/diglitData/image/berendes1902/3/0_032.jpg
1,10,33,https://digi.ub.uni-heidelberg.de/diglitData/image/berendes1902/3/0_033.jpg,,chunks/book1/book1_003.xml,ch_1_10,1.10,ch_1_10,10,,Περὶ Φοῦ,Phu,Cap. 10. Περὶ Φοῦ. Phu.,Cap. 10. Περὶ Φοῦ. Phu.,Phu,0,,https://digi.ub.uni-heidelberg.de/diglitData/image/berendes1902/3/0_033.jpg
