book,lang,source_order,page_n,facs,line_id,source_div_n,source_xml_id,printed_primary,printed_alternate,heading_label,source_heading_text,generated_n,generated_label,generated_source_label,visible_chapter_title,paired_generated_n,issue_codes,image_url
1,grc,1,9,page_images/page-0041.png,,1,spr-ch-1.1,α,,Περὶ Ἴριδος.,Κεφ. α΄. [Περὶ Ἴριδος.],1.1,Περὶ Ἴριδος,Κεφ. α΄. [Περὶ Ἴριδος.],Κεφ. α΄. [Περὶ Ἴριδος.],1.1,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0041.jp2/full/1200,/0/default.jpg"
1,la,913,9,page_images/page-0041.png,,,,I,,De Iride.,"Cap. I. [De Iride.] Iris [illyrica, aliis thelpide,",1.1,De Iride,Cap. I. [De Iride.],,1.1,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0041.jp2/full/1200,/0/default.jpg"
1,grc,2,11,page_images/page-0043.png,,2,spr-ch-1.2,β,,Περὶ Ἀκόρου[15,Κεφ. β΄. [Περὶ Ἀκόρου[15],1.2,Περὶ Ἀκόρου,Κεφ. β΄. [Περὶ Ἀκόρου.],Κεφ. β΄. [Περὶ Ἀκόρου15.],1.2,LABEL_HAS_NOTE_LEAK;SOURCE_VISIBLE_MISMATCH,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0043.jp2/full/1200,/0/default.jpg"
1,la,914,11,page_images/page-0043.png,spr-lb-1-0043-10,,,II,,De Acoro.,Cap. II. [De Acoro.] Acorum [Alii choron aphro-,1.2,De Acoro,Cap. II. [De Acoro.],,1.2,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0043.jp2/full/1200,/0/default.jpg"
1,grc,3,12,page_images/page-0044.png,,3,spr-ch-1.3,γ,,Περὶ Μήου.,Κεφ. γ΄. [Περὶ Μήου.],1.3,Περὶ Μήου,Κεφ. γ΄. [Περὶ Μήου.],Κεφ. γ΄. [Περὶ Μήου.],1.3,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0044.jp2/full/1200,/0/default.jpg"
1,la,915,12,page_images/page-0044.png,spr-lb-1-0044-11,,,III,,De Meo.,Cap. III. [De Meo.] Meum quod appellatur atha-,1.3,De Meo,Cap. III. [De Meo.],,1.3,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0044.jp2/full/1200,/0/default.jpg"
1,grc,4,13,page_images/page-0045.png,,4,spr-ch-1.4,δ,,Περὶ Κυπείρου.,Κεφ. δ΄. [Περὶ Κυπείρου.],1.4,Περὶ Κυπείρου,Κεφ. δ΄. [Περὶ Κυπείρου.],Κεφ. δ΄. [Περὶ Κυπείρου.],1.4,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0045.jp2/full/1200,/0/default.jpg"
1,la,916,13,page_images/page-0045.png,,,,IV,,De Cypero.,Cap. IV. [De Cypero.] Cyperum nonnulla aeque,1.4,De Cypero,Cap. IV. [De Cypero.],,1.4,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0045.jp2/full/1200,/0/default.jpg"
1,grc,5,14,page_images/page-0046.png,,5,spr-ch-1.5,ε,,Περὶ Καρδαμώμου.,Κεφ. ε΄. [Περὶ Καρδαμώμου.],1.5,Περὶ Καρδαμώμου,Κεφ. ε΄. [Περὶ Καρδαμώμου.],Κεφ. ε΄. [Περὶ Καρδαμώμου.],1.5,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0046.jp2/full/1200,/0/default.jpg"
1,la,917,14,page_images/page-0046.png,,,,V,,De Cardamomo.,"Cap. V. [De Cardamomo.] Cardamomum optimum,",1.5,De Cardamomo,Cap. V. [De Cardamomo.],,1.5,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0046.jp2/full/1200,/0/default.jpg"
