filename,prompt_tokens,candidates_tokens,status,timestamp
b23982500_0002_0347.jp2,829,7049,ok,2026-05-16T12:52:44.117890+00:00
b23982500_0002_0348.jp2,829,8854,ok,2026-05-16T12:54:29.293046+00:00
b23982500_0002_0349.jp2,829,5755,ok,2026-05-16T12:55:52.506001+00:00
b23982500_0002_0350.jp2,829,10011,ok,2026-05-16T12:57:42.493585+00:00
b23982500_0002_0355.jp2,829,3860,ok,2026-05-16T12:59:05.567662+00:00
b23982500_0002_0353.jp2,829,5285,ok,2026-05-16T12:59:11.076027+00:00
b23982500_0002_0351.jp2,829,7212,ok,2026-05-16T12:59:12.043462+00:00
b23982500_0002_0352.jp2,829,7667,ok,2026-05-16T12:59:22.738086+00:00
b23982500_0002_0354.jp2,829,5790,ok,2026-05-16T12:59:24.256534+00:00
b23982500_0002_0358.jp2,829,5918,ok,2026-05-16T13:00:00.613483+00:00
b23982500_0002_0356.jp2,829,7310,ok,2026-05-16T13:00:07.186542+00:00
b23982500_0002_0357.jp2,829,7740,ok,2026-05-16T13:00:13.165066+00:00
b23982500_0002_0360.jp2,829,6465,ok,2026-05-16T13:00:18.646482+00:00
b23982500_0002_0359.jp2,829,7309,ok,2026-05-16T13:00:22.816565+00:00
b23982500_0002_0362.jp2,829,4331,ok,2026-05-16T13:00:45.363082+00:00
b23982500_0002_0361.jp2,829,5520,ok,2026-05-16T13:00:49.166871+00:00
b23982500_0002_0363.jp2,829,6311,ok,2026-05-16T13:01:04.434014+00:00
b23982500_0002_0364.jp2,829,6217,ok,2026-05-16T13:01:10.869903+00:00
b23982500_0002_0365.jp2,829,6764,ok,2026-05-16T13:01:16.346849+00:00
b23982500_0002_0366.jp2,829,8581,ok,2026-05-16T13:01:54.598161+00:00
b23982500_0002_0370.jp2,829,6985,ok,2026-05-16T13:02:12.087296+00:00
b23982500_0002_0369.jp2,829,9122,ok,2026-05-16T13:02:18.628125+00:00
b23982500_0002_0368.jp2,829,10938,ok,2026-05-16T13:02:24.381818+00:00
b23982500_0002_0371.jp2,829,5062,ok,2026-05-16T13:02:38.778298+00:00
b23982500_0002_0372.jp2,829,2738,ok,2026-05-16T13:02:39.856963+00:00
b23982500_0002_0373.jp2,829,2893,ok,2026-05-16T13:02:51.016465+00:00
b23982500_0002_0377.jp2,829,4319,ok,2026-05-16T13:03:29.560163+00:00
b23982500_0002_0376.jp2,829,6266,ok,2026-05-16T13:03:32.081490+00:00
b23982500_0002_0375.jp2,829,8832,ok,2026-05-16T13:03:48.258320+00:00
b23982500_0002_0379.jp2,829,4808,ok,2026-05-16T13:04:13.447536+00:00
b23982500_0002_0378.jp2,829,5889,ok,2026-05-16T13:04:17.874664+00:00
b23982500_0002_0380.jp2,829,7771,ok,2026-05-16T13:04:52.111586+00:00
b23982500_0002_0367.jp2,829,6390,ok,2026-05-16T13:05:14.784826+00:00
b23982500_0002_0382.jp2,829,6175,ok,2026-05-16T13:05:17.353146+00:00
b23982500_0002_0381.jp2,829,10887,ok,2026-05-16T13:05:34.408452+00:00
b23982500_0002_0383.jp2,829,7460,ok,2026-05-16T13:05:49.702368+00:00
b23982500_0002_0384.jp2,829,4075,ok,2026-05-16T13:05:53.120944+00:00
b23982500_0002_0385.jp2,829,5256,ok,2026-05-16T13:06:18.068902+00:00
b23982500_0002_0374.jp2,829,5020,ok,2026-05-16T13:06:39.033229+00:00
b23982500_0002_0386.jp2,829,8773,ok,2026-05-16T13:07:01.043384+00:00
b23982500_0002_0387.jp2,829,8784,ok,2026-05-16T13:07:03.043861+00:00
b23982500_0002_0388.jp2,829,7794,ok,2026-05-16T13:07:19.348939+00:00
b23982500_0002_0391.jp2,829,5159,ok,2026-05-16T13:07:48.738156+00:00
b23982500_0002_0389.jp2,829,9219,ok,2026-05-16T13:08:13.156941+00:00
b23982500_0002_0390.jp2,829,10794,ok,2026-05-16T13:08:25.198633+00:00
b23982500_0002_0392.jp2,829,7992,ok,2026-05-16T13:08:25.861305+00:00
b23982500_0002_0393.jp2,829,8088,ok,2026-05-16T13:08:49.662026+00:00
b23982500_0002_0394.jp2,829,5678,ok,2026-05-16T13:08:59.984022+00:00
b23982500_0002_0396.jp2,829,6462,ok,2026-05-16T13:09:18.387078+00:00
b23982500_0002_0397.jp2,829,5493,ok,2026-05-16T13:09:27.661333+00:00
b23982500_0002_0398.jp2,829,4920,ok,2026-05-16T13:09:32.076185+00:00
b23982500_0002_0395.jp2,829,9091,ok,2026-05-16T13:09:34.983526+00:00
b23982500_0002_0400.jp2,829,5248,ok,2026-05-16T13:10:04.307290+00:00
b23982500_0002_0399.jp2,829,8542,ok,2026-05-16T13:10:06.990386+00:00
b23982500_0002_0402.jp2,829,6099,ok,2026-05-16T13:10:21.268717+00:00
b23982500_0002_0401.jp2,829,7172,ok,2026-05-16T13:10:25.073106+00:00
b23982500_0002_0403.jp2,829,10651,ok,2026-05-16T13:10:55.271965+00:00
b23982500_0002_0404.jp2,829,6172,ok,2026-05-16T13:10:58.158384+00:00
b23982500_0002_0405.jp2,829,8552,ok,2026-05-16T13:11:12.900845+00:00
b23982500_0002_0406.jp2,829,7119,ok,2026-05-16T13:11:21.102397+00:00
b23982500_0002_0407.jp2,829,6572,ok,2026-05-16T13:11:22.286711+00:00
b23982500_0002_0408.jp2,829,6367,ok,2026-05-16T13:11:49.120555+00:00
b23982500_0002_0410.jp2,829,4898,ok,2026-05-16T13:11:56.505927+00:00
b23982500_0002_0412.jp2,829,6509,ok,2026-05-16T13:12:16.604109+00:00
